id,from,to,voltage,reactance,resistance,circuits,pmax
322,227,192,380,23.26423766,2.684335115,2,1700
323,269,276,380,11.89899949,1.37296148,2,1700
324,412,415,380,7.460716299,0.860851881,2,1700
325,425,424,380,0.839684599,0.096886685,2,1700
326,169,170,380,4.391553109,0.506717666,2,1700
327,56,379,380,9.511347878,1.097463217,2,1700
328,181,191,380,3.47670529,0.401158303,1,1700
329,44,75,380,0.529842383,0.06113566,1,1700
330,119,183,380,21.83226312,2.519107283,1,1700
331,125,43,380,5.036154345,0.581094732,1,1700
332,264,268,380,31.45251881,3.629136785,2,1700
333,317,319,380,16.52889442,1.907180125,2,1700
334,261,259,380,5.868106812,0.677089248,1,1700
335,294,295,380,10.31880579,1.190631438,2,1700
336,6,156,380,3.884595786,0.448222591,1,1700
337,148,151,380,2.460439902,0.283896912,2,1700
338,159,142,380,2.489396197,0.287238023,1,1700
339,248,249,380,2.920379376,0.336966851,2,1700
340,413,400,380,13.77031656,1.58888268,1,1700
341,400,387,380,27.25689146,3.145025938,1,1700
342,163,168,380,5.865885145,0.676832901,1,1700
343,338,333,380,20.27350432,2.339250498,2,2300
344,208,209,380,8.704000024,1.004307695,2,1700
345,163,164,380,2.186565536,0.252296023,2,1700
346,192,196,380,6.120450041,0.706205774,1,1700
347,376,56,380,6.820191429,0.786945165,2,1700
348,363,369,380,1.356432343,0.156511424,2,1700
349,422,55,380,1.933279539,0.223070716,1,1700
350,183,190,380,12.08809443,1.394780127,2,1700
351,225,224,380,5.764049026,0.66508258,2,1700
352,333,344,380,27.1940205,3.137771596,2,1700
353,209,210,380,13.15109716,1.517434287,1,1700
354,348,350,380,21.68953397,2.502638535,2,1700
355,332,330,380,13.15737592,1.51815876,2,1700
356,371,370,380,2.359591896,0.272260603,2,1700
357,368,367,380,7.630725753,0.880468356,1,1700
358,275,278,380,9.427788801,1.087821785,1,1700
359,199,248,220,7.183310182,1.324422815,1,490
361,288,285,220,35.94366358,6.627112972,1,490
362,207,392,380,15.62412318,1.802783444,1,1700
363,281,43,380,0.336947791,0.038878591,1,1700
364,386,413,380,34.11246453,3.936053599,1,1700
365,379,380,380,2.47403412,0.285465475,1,1700
366,395,1,380,6.970085853,0.804240675,2,1700
367,429,432,380,2.116318572,0.244190604,2,1700
368,155,175,380,4.618121663,0.532860192,1,1700
369,188,187,380,11.13359404,1.284645466,1,1700
370,189,188,380,4.483102888,0.517281102,1,1700
371,357,356,380,12.04117981,1.389366901,1,1700
372,307,306,380,4.421226473,0.510141516,2,1700
373,342,343,380,5.773861168,0.66621475,1,1700
374,375,130,380,9.748171997,1.124789077,2,1700
375,173,174,380,7.430907384,0.85741239,1,1700
376,382,386,220,24.27779516,4.476218482,1,490
377,416,420,380,18.67478191,2.154782528,1,1700
378,348,339,380,16.07063382,1.854303902,1,1700
379,280,125,380,4.208840172,0.485635404,1,1700
380,186,183,380,17.80977275,2.054973779,2,1700
381,292,293,380,6.929415732,0.799547969,1,1700
382,217,380,380,20.31497577,2.344035665,1,1700
383,249,270,380,29.07156723,3.354411604,2,1700
384,170,167,380,5.353947699,0.617763196,2,1700
385,394,393,380,5.167120934,0.596206262,1,1700
386,369,370,380,1.704984797,0.196729015,2,1700
387,148,202,380,16.79755085,1.938178944,1,1700
388,175,120,380,9.789677307,1.129578151,1,1700
389,37,146,380,0.415236719,0.047911929,1,1700
390,172,156,380,10.34031262,1.193112995,2,1700
391,417,361,380,52.04193492,6.004838645,1,1700
392,310,317,380,16.01895825,1.848341336,3,1700
393,430,428,380,14.92302589,1.721887603,2,1700
